Constituency,Constituency-code,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,State,State-code
Nagpur central,55,KUMBHARE VIKAS SHANKARRAO,Bharatiya Janata Party,ANEES AHMED,Indian National Congress,38071,Result Declared,Maharashtra,S13
Nagpur East,54,KHOPDE KRISHNA PANCHAM,Bharatiya Janata Party,ABHIJIT GOVINDRAO WANJARI,Indian National Congress,48614,Result Declared,Maharashtra,S13
Nagpur North,57,DR. MILIND MANE,Bharatiya Janata Party,KISHORE UTTAMRAO GAJBHIYE IAS (R),Bahujan Samaj Party,13718,Result Declared,Maharashtra,S13
Nagpur South,53,KOHALE SUDHAKAR VITTHALRAO,Bharatiya Janata Party,CHATURVEDI SATISH,Indian National Congress,43214,Result Declared,Maharashtra,S13
Nagpur South West,52,DEVENDRA GANGADHAR FADNAVIS,Bharatiya Janata Party,PRAFULLA VINOD GUDADHE (PATIL),Indian National Congress,58942,Result Declared,Maharashtra,S13
Nagpur West,56,DESHMUKH SUDHAKAR SHAMRAO,Bharatiya Janata Party,THAKRE VIKAS PANDURANG,Indian National Congress,26402,Result Declared,Maharashtra,S13
Naigaon,89,CHAVAN VASANTRAO BALWANTRAO,Indian National Congress,RAJESH SAMBHAJI PAWAR,Bharatiya Janata Party,10425,Result Declared,Maharashtra,S13
Nalasopara,132,KSHITIJ HITENDRA THAKUR,Bahujan Vikas Aaghadi,RAJAN BALKRISHNA NAIK,Bharatiya Janata Party,54499,Result Declared,Maharashtra,S13
Nanded North,86,D.P.SAWANT,Indian National Congress,PANDHARE SUDHAKAR RAMRAO,Bharatiya Janata Party,7602,Result Declared,Maharashtra,S13
Nanded South,87,HEMANT SRIRAM PATIL,Shivsena,DILIP VENKATRAO KANDKURTE,Bharatiya Janata Party,3207,Result Declared,Maharashtra,S13
Nandgaon,113,PANKAJ CHHAGAN BHUJBAL,Nationalist Congress Party,SUHAS DWARKANATH KANDE,Shivsena,18436,Result Declared,Maharashtra,S13
Nandurbar,3,GAVIT VIJAYKUMAR KRUSHNARAO,Bharatiya Janata Party,VASAVE KUNAL BATESING,Indian National Congress,27118,Result Declared,Maharashtra,S13
Nashik central,124,FARANDE DEVAYANI SUHAS,Bharatiya Janata Party,VASANT (BHAU) NIVRUTTI GITE,Maharashtra Navnirman sena,28272,Result Declared,Maharashtra,S13
Nashik East,123,BALASAHEB MAHADU SANAP,Bharatiya Janata Party,CHANDRAKANT (RAJU ANNA) PANDURANG LAVTE,Shivsena,46374,Result Declared,Maharashtra,S13
Nashik West,125,HIRAY SEEMA MAHESH (SEEMATAI),Bharatiya Janata Party,BADGUJAR SUDHAKAR BHIKA,Shivsena,29670,Result Declared,Maharashtra,S13
Nawapur,4,NAIK SURUPSING HIRYA,Indian National Congress,GAVIT SHARAD KRUSHNARAO,Nationalist Congress Party,21817,Result Declared,Maharashtra,S13
Nevasa,221,BALASAHEB ALIAS DADASAHEB DAMODHAR MURKUTE,Bharatiya Janata Party,GADAKH SHANKARRAO YASHWANTRAO,Nationalist Congress Party,4659,Result Declared,Maharashtra,S13
Nilanga,238,NILANGEKAR SAMBHAJI DEELIPRAO PATIL,Bharatiya Janata Party,ASHOK SHIVAJIRAO PATIL NILANGEKAR,Indian National Congress,27511,Result Declared,Maharashtra,S13
Niphad,121,ANIL SAHEBRAO KADAM,Shivsena,BANKAR DILIPRAO SHANKARRAO,Nationalist Congress Party,3921,Result Declared,Maharashtra,S13
Osmanabad,242,RANA JAGJIT SINHA PADMA SINHA  PATIL,Nationalist Congress Party,OMPRAKASH BHUPALSINHA (PAWANRAJE) RAJENIMBALKAR,Shivsena,10806,Result Declared,Maharashtra,S13
Ovala - Majiwada,146,PRATAP BABURAO SARNAIK,Shivsena,SANJAY PANDEY,Bharatiya Janata Party,10906,Result Declared,Maharashtra,S13
Pachora,18,KISHOR APPA PATIL,Shivsena,DILIP ONKAR WAGH,Nationalist Congress Party,28403,Result Declared,Maharashtra,S13
Paithan,110,BHUMRE SANDIPANRAO AASARAM,Shivsena,WAGHCHAURE SANJAY YADAVRAO,Nationalist Congress Party,25039,Result Declared,Maharashtra,S13
Palghar,130,GHODA KRUSHNA ARJUN,Shivsena,GAVIT RAJENDRA DHEDYA,Indian National Congress,515,Result Declared,Maharashtra,S13
Palus-Kadegaon,285,DR. KADAM PATANGRAO SHRIPATRAO,Indian National Congress,DESHMUKH PRUTHVIRAJ SAYAJIRAO,Bharatiya Janata Party,24034,Result Declared,Maharashtra,S13
Pandharpur,252,BHALAKE BHARAT TUKARAM,Indian National Congress,PARICHARAK SHAILENDRA ALIAS PRASHANT PRABHAKAR,Swabhimani Paksha,8913,Result Declared,Maharashtra,S13
Panvel,188,PRASHANT RAMSHETH THAKUR,Bharatiya Janata Party,BALARAM DATTUSHETH PATIL (BALUSHETH),Peasants And Workers Party of India,13215,Result Declared,Maharashtra,S13
Paranda,243,MOTE RAHUL MAHARUDRA,Nationalist Congress Party,PATIL DNYANESHWAR RAOSAHEB,Shivsena,12389,Result Declared,Maharashtra,S13
Parbhani,96,DR.RAHUL VEDPRAKASH PATIL,Shivsena,SYAD KHALAD SYAD SAHEBJAN,All India Majlis-E-Ittehadul Muslimeen,26526,Result Declared,Maharashtra,S13
Parli,233,MUNDE PANKAJA GOPINATHRAO,Bharatiya Janata Party,DHANANJAY PANDITRAO MUNDE,Nationalist Congress Party,25895,Result Declared,Maharashtra,S13
Parner,224,AUTI VIJAYRAO BHASKARRAO,Shivsena,SUJIT VASANTRAO ZAWARE PATIL,Nationalist Congress Party,27422,Result Declared,Maharashtra,S13
Partur,99,BABANRAO DATTATRAY YADAV LONIKAR,Bharatiya Janata Party,JETHALIYA SURESHKUMAR KANHAIYYALAL,Indian National Congress,4360,Result Declared,Maharashtra,S13
Parvati,212,MISAL MADHURI SATISH,Bharatiya Janata Party,TAWARE SACHIN (ANNA) SHAM,Shivsena,69090,Result Declared,Maharashtra,S13
Patan,261,DESAI SHAMBHURAJ SHIVAJIRAO,Shivsena,PATANKAR SATYAJIT VIKRAMSINH,Nationalist Congress Party,18824,Result Declared,Maharashtra,S13
Pathri,98,FAD MOHAN MADHAVRAO,Independent,WARPUDKAR SURESH AMBADASRAO,Indian National Congress,13449,Result Declared,Maharashtra,S13
Pen,191,DHAIRYASHEEL MOHAN PATIL,Peasants And Workers Party of India,RAVISHETH PATIL,Indian National Congress,4120,Result Declared,Maharashtra,S13
Phaltan,255,CHAVAN DIPAK PRALHAD,Nationalist Congress Party,AAGAVANE DIGAMBAR ROHIDAS,Indian National Congress,33568,Result Declared,Maharashtra,S13
Phulambri,106,BAGDE HARIBHAU KISANRAO,Bharatiya Janata Party,DR. KALYAN VAIJINATHRAO KALE,Indian National Congress,3611,Result Declared,Maharashtra,S13
Pimpri,206,ADV. CHABUKSWAR GAUTAM SUKHDEO,Shivsena,ANNA DADU BANSODE,Nationalist Congress Party,2335,Result Declared,Maharashtra,S13
Pune cantonment,214,DILIP KAMBLE,Bharatiya Janata Party,BAGAVE RAMESH ANANDRAO,Indian National Congress,14955,Result Declared,Maharashtra,S13
Purandar,202,VIJAYBAPU SHIVTARE,Shivsena,SANJAY CHANDUKAKA JAGTAP,Indian National Congress,8590,Result Declared,Maharashtra,S13
Pusad,81,NAIK MANOHAR RAJUSING,Nationalist Congress Party,DEOSARKAR PRAKASHRAO ABAJI,Shivsena,65359,Result Declared,Maharashtra,S13
Radhanagari,272,AABITAKAR PRAKASH ANANDARAO,Shivsena,K.P.PATIL,Nationalist Congress Party,39408,Result Declared,Maharashtra,S13
