Constituency,Constituency-code,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,State,State-code
Versova,164,DR. BHARATI HEMANT LAVEKAR,Bharatiya Janata Party,BALDEV KHOSA,Indian National Congress,26398,Result Declared,Maharashtra,S13
Vikhroli,156,SUNIL RAJARAM RAUT,Shivsena,MANGESH EKNATH SANGALE,Maharashtra Navnirman sena,25339,Result Declared,Maharashtra,S13
Vikramgad,129,SAVARA VISHNU RAMA,Bharatiya Janata Party,PRAKASH KRUSHNA NIKAM,Shivsena,3845,Result Declared,Maharashtra,S13
Vile parle,167,PARAG ALAVANI,Bharatiya Janata Party,SHASHIKANT GOVIND PATKAR,Shivsena,32435,Result Declared,Maharashtra,S13
Wadala,180,KALIDAS NILKANTH KOLAMBKAR,Indian National Congress,MIHIR CHANDRAKANT KOTECHA,Bharatiya Janata Party,800,Result Declared,Maharashtra,S13
Wai,256,JADHAV (PATIL) MAKRAND LAXMANRAO,Nationalist Congress Party,BHOSALE MADAN  PRATAPRAO,Indian National Congress,38702,Result Declared,Maharashtra,S13
Wani,76,BODKURWAR SANJIVREDDI BAPURAO,Bharatiya Janata Party,NANDEKAR VISHVAS RAMCHANDRA,Shivsena,5606,Result Declared,Maharashtra,S13
Wardha,47,DR.PANKAJ RAJESH BHOYAR,Bharatiya Janata Party,SHEKAR PRAMOD SHENDE,Indian National Congress,8550,Result Declared,Maharashtra,S13
Warora,75,SURESH ALIAS BALUBHAU NARAYAN DHANORKAR,Shivsena,SANJAY WAMANRAO DEOTALE,Bharatiya Janata Party,2004,Result Declared,Maharashtra,S13
Washim,34,MALIK LAKHAN SAHADEV,Bharatiya Janata Party,NILESH ALIAS SHASHIKANT PENDHARKAR,Shivsena,4393,Result Declared,Maharashtra,S13
Worli,182,SUNIL GOVIND SHINDE,Shivsena,AHIR SACHIN MOHAN,Nationalist Congress Party,23012,Result Declared,Maharashtra,S13
Yavatmal,78,MADAN MADHUKARRAO YERAWAR,Bharatiya Janata Party,SANTOSH MAROTRAO DHAVALE,Shivsena,1227,Result Declared,Maharashtra,S13
Yevla,119,CHHAGAN BHUJBAL,Nationalist Congress Party,PAWAR SAMBHAJI SAHEBRAO,Shivsena,46442,Result Declared,Maharashtra,S13
