Candidate,Party,Votes,State,Constituency,State-code,Constituency-code
DR. VANDANA UMENDRA WAGHCHOURE,Bahujan Samaj Party,1048,Maharashtra,Bhusawal ,S13,12
BAWISKAR GOKUL NAMDEO,Independent,296,Maharashtra,Bhusawal ,S13,12
SONAWANE VINOD ASHOK,Bharipa Bahujan Mahasangh,256,Maharashtra,Bhusawal ,S13,12
JAGDISH GANGADHAR BHALERAO,Independent,238,Maharashtra,Bhusawal ,S13,12
CHANGARE JITENDRA MANIRAM,Independent,222,Maharashtra,Bhusawal ,S13,12
ASHOK SONYABAPU SHIRSATH,Independent,165,Maharashtra,Bhusawal ,S13,12
None of the Above,None of the Above,1447,Maharashtra,Bhusawal ,S13,12
SURESH DAMU BHOLE (RAJUMAMA),Bharatiya Janata Party,88363,Maharashtra,Jalgaon City,S13,13
SURESHKUMAR JAIN,Shivsena,46049,Maharashtra,Jalgaon City,S13,13
KOLHE LALIT VIJAY,Maharashtra Navnirman sena,21333,Maharashtra,Jalgaon City,S13,13
PATEL IBRAHIM MUSA,Samajwadi Party,17383,Maharashtra,Jalgaon City,S13,13
CHAUDHARI MANOJ DAYARAM,Nationalist Congress Party,4835,Maharashtra,Jalgaon City,S13,13
DR.CHAUDHARI RADHESHYAM DHARAMRAJ,Indian National Congress,4014,Maharashtra,Jalgaon City,S13,13
SAIYAD NAJIR MAHAMAD,Bahujan Samaj Party,1390,Maharashtra,Jalgaon City,S13,13
VIKAS KASHINATH ALAWANI,Independent,836,Maharashtra,Jalgaon City,S13,13
SACHIN CHABULAL GANGURDE,Independent,498,Maharashtra,Jalgaon City,S13,13
NAMDEO RAGHUNATH KOLI,Independent,299,Maharashtra,Jalgaon City,S13,13
PRO. PRATAP MOHAN KOLI,Independent,221,Maharashtra,Jalgaon City,S13,13
VISHAL ANANATKUMAR SHARMA,Akhil Bharat Hindu Mahasabha,212,Maharashtra,Jalgaon City,S13,13
FARUKH SAI.GAFFAR SAI.,Independent,206,Maharashtra,Jalgaon City,S13,13
SONAWANE RAJESH PITAMBAR,Rashtriya Samajwadi Party  (Secular),195,Maharashtra,Jalgaon City,S13,13
RAJESH RAMESH SONAWANE,Independent,171,Maharashtra,Jalgaon City,S13,13
MANOJ DIGAMBAR CHAUDHARI,Independent,154,Maharashtra,Jalgaon City,S13,13
DEEPAK SUDHAKAR TAYADE,Independent,121,Maharashtra,Jalgaon City,S13,13
None of the Above,None of the Above,1256,Maharashtra,Jalgaon City,S13,13
PATIL GULAB RAGHUNATH,Shivsena,84020,Maharashtra,Jalgaon Rural,S13,14
DEOKAR GULABRAO BABURAO,Nationalist Congress Party,52653,Maharashtra,Jalgaon Rural,S13,14
PATIL ABASAHEB P.C.,Bharatiya Janata Party,44011,Maharashtra,Jalgaon Rural,S13,14
D.G. PATIL,Indian National Congress,3968,Maharashtra,Jalgaon Rural,S13,14
MUKUNDA AANNDA ROTE,Maharashtra Navnirman sena,1256,Maharashtra,Jalgaon Rural,S13,14
MACHHINDRANATH ARJUN SONWANE,Independent,770,Maharashtra,Jalgaon Rural,S13,14
MALI KIRAN SURESH,Independent,477,Maharashtra,Jalgaon Rural,S13,14
SUNIL GULABRAO SONWANE,Independent,415,Maharashtra,Jalgaon Rural,S13,14
ARVIND BHIMRAO MANKARI,Ambedkarist Republican Party,307,Maharashtra,Jalgaon Rural,S13,14
BIRHADE MOHAN SHANKAR,Rashtriya Samajwadi Party  (Secular),277,Maharashtra,Jalgaon Rural,S13,14
None of the Above,None of the Above,1608,Maharashtra,Jalgaon Rural,S13,14
SHIRISHDADA HIRALAL CHAUDHARI,Independent,68149,Maharashtra,Amalner,S13,15
ANIL BHAIDAS PATIL (AMALNER),Bharatiya Janata Party,46910,Maharashtra,Amalner,S13,15
KRUSHIBHUSHAN SAHEBRAO PATIL,Nationalist Congress Party,43667,Maharashtra,Amalner,S13,15
ANIL AMBAR PATIL,Shivsena,2879,Maharashtra,Amalner,S13,15
SONAWANE MANGALABAI BAPU,Independent,1557,Maharashtra,Amalner,S13,15
ENG. GIRISH SONJI PATIL,Indian National Congress,1458,Maharashtra,Amalner,S13,15
PATIL ANIL BHAIDAS (DHABE),Independent,1293,Maharashtra,Amalner,S13,15
BHARAT PRAKASH PAWAR,Independent,685,Maharashtra,Amalner,S13,15
KRUSHITADNYA PATIL SAHEBRAO DHONDU,Independent,560,Maharashtra,Amalner,S13,15
BHAUSO BANSODE RAMKRISHNA VIJAY,Bahujan Samaj Party,537,Maharashtra,Amalner,S13,15
PATIL SANDEEP YUVRAJ,Independent,462,Maharashtra,Amalner,S13,15
ANIL BHAIDAS PATIL (RANAICHE),Independent,356,Maharashtra,Amalner,S13,15
JAGDANE RAMESH SOMA,Independent,198,Maharashtra,Amalner,S13,15
None of the Above,None of the Above,1162,Maharashtra,Amalner,S13,15
ANNASAHEB DR. SATISH BHASKARRAO PATIL,Nationalist Congress Party,55656,Maharashtra,Erandol,S13,16
PATIL CHIMANRAO RUPCHAND,Shivsena,53673,Maharashtra,Erandol,S13,16
MACHHINDRA RATAN PATIL,Bharatiya Janata Party,28901,Maharashtra,Erandol,S13,16
DADASO PATIL NARENDR JAYVEER,Maharashtra Navnirman sena,24094,Maharashtra,Erandol,S13,16
WAGH PRAVIN CHANDRABHAN,Indian National Congress,1670,Maharashtra,Erandol,S13,16
PATIL SATISH BHASKRRAO,Independent,1528,Maharashtra,Erandol,S13,16
KHATIK SUBHAN RAHIMATULLA,Bahujan Samaj Party,842,Maharashtra,Erandol,S13,16
SAIYAD AFASR ALI HAIDARALI,Independent,829,Maharashtra,Erandol,S13,16
CHIMANRAO PATIL(TOLI),Independent,499,Maharashtra,Erandol,S13,16
PAWAR PRATAP RAMDAS,Independent,469,Maharashtra,Erandol,S13,16
CHIMANRAO PATIL(MHASVE),Independent,246,Maharashtra,Erandol,S13,16
None of the Above,None of the Above,992,Maharashtra,Erandol,S13,16
UNMESH BHAIYYASAHEB PATIL,Bharatiya Janata Party,94754,Maharashtra,Chalisgaon,S13,17
DESHMUKH RAJIV ANIL,Nationalist Congress Party,72374,Maharashtra,Chalisgaon,S13,17
GUNJAL RAMESH SAHEBRAO,Independent,25689,Maharashtra,Chalisgaon,S13,17
RAMDAS MOTIRAM PATIL,Shivsena,4789,Maharashtra,Chalisgaon,S13,17
JADHAV RAKESH LALCHAND,Maharashtra Navnirman sena,4356,Maharashtra,Chalisgaon,S13,17
ASHOK HARI KHALANE,Indian National Congress,3328,Maharashtra,Chalisgaon,S13,17
PITAMBAR ZULAL ZALTE,Independent,1471,Maharashtra,Chalisgaon,S13,17
MORE RAJARAM BARKU,Bahujan Samaj Party,1360,Maharashtra,Chalisgaon,S13,17
None of the Above,None of the Above,1734,Maharashtra,Chalisgaon,S13,17
KISHOR APPA PATIL,Shivsena,87520,Maharashtra,Pachora,S13,18
DILIP ONKAR WAGH,Nationalist Congress Party,59117,Maharashtra,Pachora,S13,18
UTTAMRAO DHANA MAHAJAN,Bharatiya Janata Party,20772,Maharashtra,Pachora,S13,18
BHAUSAHEB DILIP MUKUNDRAO PATIL,Maharashtra Navnirman sena,12833,Maharashtra,Pachora,S13,18
PRADIPRAO GULABRAO PAWAR,Indian National Congress,4904,Maharashtra,Pachora,S13,18
NANASO M. P. PAGARE,Independent,1124,Maharashtra,Pachora,S13,18
JADHAV SANDIP FAKIRA,Independent,855,Maharashtra,Pachora,S13,18
MORE SURENDRA CHANDRARAO,Bahujan Samaj Party,765,Maharashtra,Pachora,S13,18
NILESH SHIVRAO SHELAR,Bahujan Mukti Party,482,Maharashtra,Pachora,S13,18
None of the Above,None of the Above,1272,Maharashtra,Pachora,S13,18
GIRISH DATTATRAY MAHAJAN,Bharatiya Janata Party,103498,Maharashtra,Jamner,S13,19
PATIL DIGAMBAR KESHAV,Nationalist Congress Party,67730,Maharashtra,Jamner,S13,19
SUBHASH DAGADU TANWAR,Shivsena,14232,Maharashtra,Jamner,S13,19
VISPUTE JYOTSNA SUNIL,Indian National Congress,2691,Maharashtra,Jamner,S13,19
RAJPUT VILAS DHANSING,Maharashtra Navnirman sena,2241,Maharashtra,Jamner,S13,19
SANJAY LAXMAN LOKHANDE,Bahujan Samaj Party,1046,Maharashtra,Jamner,S13,19
SURWADE PANDHARINATH JYOTIRAM,Independent,788,Maharashtra,Jamner,S13,19
KRUSHNA SAMADHAN MALI,Independent,336,Maharashtra,Jamner,S13,19
ALIBABA RASHID TADAVI,Independent,190,Maharashtra,Jamner,S13,19
None of the Above,None of the Above,1796,Maharashtra,Jamner,S13,19
KHADSE EKNATHRAO GANPATRAO,Bharatiya Janata Party,85657,Maharashtra,Muktainagar ,S13,20
PATIL CHANDRAKANT NIMBA,Shivsena,75949,Maharashtra,Muktainagar ,S13,20
ARUN PANDURANG PATIL,Nationalist Congress Party,6499,Maharashtra,Muktainagar ,S13,20
PATIL YOGENDRASING BHAGWAN,Indian National Congress,4495,Maharashtra,Muktainagar ,S13,20
THAKARE SURESH SHIVRAM,Bahujan Samaj Party,2895,Maharashtra,Muktainagar ,S13,20
SANGALKAR RAJENDRA DAGADU,Maharashtra Navnirman sena,1058,Maharashtra,Muktainagar ,S13,20
DHANGAR RAVINDRA DEVIDAS,Independent,889,Maharashtra,Muktainagar ,S13,20
BAVASKAR RAVINDRA EKNATH,Independent,835,Maharashtra,Muktainagar ,S13,20
MEDHE HARSHAL DINKAR,Independent,794,Maharashtra,Muktainagar ,S13,20
SHAGARSHA ROSHPANSHAH,Independent,462,Maharashtra,Muktainagar ,S13,20
PALVE SURENDRA AVCHIT,Independent,447,Maharashtra,Muktainagar ,S13,20
DINKAR LODHU GAVHAL (PATIL),Independent,374,Maharashtra,Muktainagar ,S13,20
INGALE UTTAM KASHIRAM,Hindustan Janta Party,217,Maharashtra,Muktainagar ,S13,20
TAYADE ARUN CHANDRABHAN,Independent,215,Maharashtra,Muktainagar ,S13,20
SAHEBRAO VIKAS WANKHEDE,Bahujan Mukti Party,182,Maharashtra,Muktainagar ,S13,20
ARUN DNYANDEV KANDELKAR,Independent,148,Maharashtra,Muktainagar ,S13,20
VIVEK BHIMRAO TAYADE,Republican Party of India,147,Maharashtra,Muktainagar ,S13,20
None of the Above,None of the Above,2264,Maharashtra,Muktainagar ,S13,20
CHAINSUKH MADANLAL SANCHETI,Bharatiya Janata Party,75965,Maharashtra,Malkapur,S13,21
DR. ARVIND KOLTE,Indian National Congress,49019,Maharashtra,Malkapur,S13,21
VASANT RAMBHAU BHOJANE,Shivsena,26291,Maharashtra,Malkapur,S13,21
SANTOSH SAHEBRAO RAIPURE,Nationalist Congress Party,5741,Maharashtra,Malkapur,S13,21
DR. KOLTE YOGENDRA VITTHAL,Bahujan Samaj Party,3773,Maharashtra,Malkapur,S13,21
VASANTRAO SUKHDEO DANDGE,Bharipa Bahujan Mahasangh,2916,Maharashtra,Malkapur,S13,21
SHAIKH AABID SHAIKH BASHIR,Independent,679,Maharashtra,Malkapur,S13,21
ADV. SANJAY SHANKARRAO WANKHEDE,Independent,586,Maharashtra,Malkapur,S13,21
VINODBHAU SHAMRAO BIRHADE,Bahujan Mukti Party,386,Maharashtra,Malkapur,S13,21
ATISH DAYARAM KHARATE,Independent,371,Maharashtra,Malkapur,S13,21
RANA DARBARSING KAUTIKRAO SOLANKE (Rajput),Independent,345,Maharashtra,Malkapur,S13,21
SHAHID SHAIKH A. SALAM,Independent,340,Maharashtra,Malkapur,S13,21
RAJESH MUKUNDRAO INGLE,Republican Party of India,210,Maharashtra,Malkapur,S13,21
TAHESIN KHAN YASIN KHAN,Independent,158,Maharashtra,Malkapur,S13,21
None of the Above,None of the Above,1672,Maharashtra,Malkapur,S13,21
HARSHWARDHAN VASANTRAO SAPKAL,Indian National Congress,46985,Maharashtra,Buldhana,S13,22
SANJAY RAMBHAU GAIKWAD,Maharashtra Navnirman sena,35324,Maharashtra,Buldhana,S13,22
GODE YOGENDRA RAJENDRA,Bharatiya Janata Party,33237,Maharashtra,Buldhana,S13,22
VIJAYRAJ HARIBHAU SHINDE,Shivsena,32946,Maharashtra,Buldhana,S13,22
NARESH RAJARAM SHELAKE,Nationalist Congress Party,4387,Maharashtra,Buldhana,S13,22
AZHAR SIKANDAR KHAN,Bharipa Bahujan Mahasangh,3052,Maharashtra,Buldhana,S13,22
SHANKARSETH ONKAR CHAUDHARY,Bahujan Samaj Party,2728,Maharashtra,Buldhana,S13,22
PRASHANT UTTAM WAGHODE,Independent,1170,Maharashtra,Buldhana,S13,22
PANDHARI BHAGWAN TAYADE,Independent,951,Maharashtra,Buldhana,S13,22
BHAGWAN ALIS MUNNA RAMPRASAD BENDWAL,Independent,701,Maharashtra,Buldhana,S13,22
DONGARDIVE NAMDEO PUNDALIK,Independent,545,Maharashtra,Buldhana,S13,22
A.MUSTAK A. WAHAB,Independent,371,Maharashtra,Buldhana,S13,22
KRUSHNAKANT MANOHAR BAGADE,Republican Party of India,226,Maharashtra,Buldhana,S13,22
GANESH PANDU INGALE,Independent,174,Maharashtra,Buldhana,S13,22
GAJANAN JANARDHANA ZAGARE,Independent,119,Maharashtra,Buldhana,S13,22
None of the Above,None of the Above,1021,Maharashtra,Buldhana,S13,22
RAHUL SIDDHAVINAYAK BONDRE,Indian National Congress,61581,Maharashtra,Chikhli,S13,23
KHABUTARE SURESHAAPPA WAMANAAPPA,Bharatiya Janata Party,47520,Maharashtra,Chikhli,S13,23
DHRUPADRAO BHAGWAN SAVLE,Nationalist Congress Party,33699,Maharashtra,Chikhli,S13,23
DR. PRATAPSING DALSING RAJPUT,Shivsena,26929,Maharashtra,Chikhli,S13,23
KHARAPAS VINOD BHASKARRAO,Maharashtra Navnirman sena,3103,Maharashtra,Chikhli,S13,23
KHARAT VIJAY GOPALA,Bharipa Bahujan Mahasangh,2253,Maharashtra,Chikhli,S13,23
GANESH DIGAMBAR BAHEKAR,Independent,2001,Maharashtra,Chikhli,S13,23
JADHAV NIVRUTTI VITTHAL,Bahujan Samaj Party,1973,Maharashtra,Chikhli,S13,23
GUJAR TUSHAR NILKANTHA,Akhil Bharat Hindu Mahasabha,409,Maharashtra,Chikhli,S13,23
RAJESH ASHOKRAO GAWAI,Bahujan Mukti Party,407,Maharashtra,Chikhli,S13,23
DAGADUBA SHANKAR SALVE,Independent,399,Maharashtra,Chikhli,S13,23
AYAJ AHEMAD HABIB AHEMAD KURESHI,Independent,308,Maharashtra,Chikhli,S13,23
None of the Above,None of the Above,1321,Maharashtra,Chikhli,S13,23
DR. KHEDEKAR SHASHIKANT NARSINGRAO,Shivsena,64203,Maharashtra,Sindkhed Raja,S13,24
DR. GANESH BABURAO MANTE,Bharatiya Janata Party,45349,Maharashtra,Sindkhed Raja,S13,24
KHEDEKAR REKHA PURUSHORTTAM,Nationalist Congress Party,37161,Maharashtra,Sindkhed Raja,S13,24
WAGH VINOD LAXMAN,Maharashtra Navnirman sena,13533,Maharashtra,Sindkhed Raja,S13,24
NAGRE PRADIP BABURAO,Indian National Congress,7261,Maharashtra,Sindkhed Raja,S13,24
MAGAR VASANTRAO RAJARAM,Bahujan Samaj Party,7121,Maharashtra,Sindkhed Raja,S13,24
KHANDARE PANDITRAO GOVINDRAO,Republican Sena,4565,Maharashtra,Sindkhed Raja,S13,24
MHASKE SURESH DHARMAJI,Independent,926,Maharashtra,Sindkhed Raja,S13,24
ADV.KISHOR SHRIRAM SARDAR,Independent,784,Maharashtra,Sindkhed Raja,S13,24
SHAHEER BHIMRAO BAJIRAO THORVE,Independent,758,Maharashtra,Sindkhed Raja,S13,24
DAWAKE SANJAY TRIMBAK,Independent,594,Maharashtra,Sindkhed Raja,S13,24
NAMDEO DAGADU RATHOD (MANTRI),Independent,532,Maharashtra,Sindkhed Raja,S13,24
None of the Above,None of the Above,1279,Maharashtra,Sindkhed Raja,S13,24
SANJAY BHASHKAR RAIMULKAR,Shivsena,80356,Maharashtra,Mehkar ,S13,25
LAXMANRAO JANUJI GHUMARE,Indian National Congress,44421,Maharashtra,Mehkar ,S13,25
GAWAI NARHARI ONKAR,Bharatiya Janata Party,17035,Maharashtra,Mehkar ,S13,25
ASHWINI SHIVCHARAN AKHADE,Nationalist Congress Party,12759,Maharashtra,Mehkar ,S13,25
PRAKASH CHINDHAJI GAWAI,Bharipa Bahujan Mahasangh,4267,Maharashtra,Mehkar ,S13,25
KHANDARE SAHEBRAO RAMBHAU,Bahujan Samaj Party,1290,Maharashtra,Mehkar ,S13,25
AMBHORE PRADIP EKNATH,Peasants And Workers Party of India,918,Maharashtra,Mehkar ,S13,25
SARDAR VISHNU MAHADU,Bahujan Mukti Party,653,Maharashtra,Mehkar ,S13,25
SADAVARTE GANGASAGAR PRAKASH,Independent,625,Maharashtra,Mehkar ,S13,25
RAMCHANDRA TUKARAM WADEKAR,Independent,573,Maharashtra,Mehkar ,S13,25
VIJAY PANDHARINATH GAWAI,Independent,531,Maharashtra,Mehkar ,S13,25
NANASAHEB BHIKAJI DEBAJE,Ambedkarite Party of India,510,Maharashtra,Mehkar ,S13,25
AWARE GANESH YASHVANT,Independent,446,Maharashtra,Mehkar ,S13,25
RAJESH GULABRAO MORE,Republican Party of India,427,Maharashtra,Mehkar ,S13,25
AWSARMOL GULABRAO VAMANRAO,Independent,419,Maharashtra,Mehkar ,S13,25
AYAJ AHEMAD HABIB AHEMAD.,Independent,341,Maharashtra,Mehkar ,S13,25
PANDIT ASHRUJI MORE,Independent,338,Maharashtra,Mehkar ,S13,25
VIJAY SITARAM MORE,Independent,241,Maharashtra,Mehkar ,S13,25
RAJENDRA SANTOSH GAWAI,Independent,180,Maharashtra,Mehkar ,S13,25
None of the Above,None of the Above,1646,Maharashtra,Mehkar ,S13,25
AKASH PANDURANG FUNDKAR,Bharatiya Janata Party,71819,Maharashtra,Khamgaon,S13,26
SANANDA DILIPKUMAR GOKULCHAND,Indian National Congress,64758,Maharashtra,Khamgaon,S13,26
SONONE ASHOK SHAMRAO,Bharipa Bahujan Mahasangh,47541,Maharashtra,Khamgaon,S13,26
NANA NIINBAJI KOKARE,Nationalist Congress Party,4432,Maharashtra,Khamgaon,S13,26
HAJI BUDHANKHA ABBASKHA,Independent,3256,Maharashtra,Khamgaon,S13,26
HURSAD HARIDAS RAMDAS,Shivsena,1644,Maharashtra,Khamgaon,S13,26
SHYAM BANSILAL SHARMA,Independent,602,Maharashtra,Khamgaon,S13,26
SHELAKE SANKET ASHOK,Akhil Bharat Hindu Mahasabha,549,Maharashtra,Khamgaon,S13,26
MO. HASAN A. KHALIK,Minorities Democratic Party,539,Maharashtra,Khamgaon,S13,26
SHAIKH IRFAN SHAIKH SUBHAN QURESHI,Independent,241,Maharashtra,Khamgaon,S13,26
PRATAP TEJRAO WANKHADE,Bahujan Mukti Party,188,Maharashtra,Khamgaon,S13,26
None of the Above,None of the Above,1263,Maharashtra,Khamgaon,S13,26
KUTE DR. SANJAY SHRIRAM,Bharatiya Janata Party,63888,Maharashtra,Jalgaon (Jamod),S13,27
BALASAHEB ALIAS PRASENJIT KISAN TAYDE,Bharipa Bahujan Mahasangh,59193,Maharashtra,Jalgaon (Jamod),S13,27
BURANGALE RAMVIJAY DHYANESHWAR,Indian National Congress,36461,Maharashtra,Jalgaon (Jamod),S13,27
SANTOSH ANANDA GHATOL,Shivsena,9467,Maharashtra,Jalgaon (Jamod),S13,27
GHOLAP RAMESH PUNJAJI,Independent,6540,Maharashtra,Jalgaon (Jamod),S13,27
DHOKANE  PRAKASH TULSHIRAMJI,Nationalist Congress Party,6056,Maharashtra,Jalgaon (Jamod),S13,27
WAGH GAJANAN NAMDEVRAO,Maharashtra Navnirman sena,2327,Maharashtra,Jalgaon (Jamod),S13,27
INGLE DNYANDEV VISHNU,Bahujan Samaj Party,1099,Maharashtra,Jalgaon (Jamod),S13,27
SUDHAKAR SHRIRAMSA NANDANE,Independent,1036,Maharashtra,Jalgaon (Jamod),S13,27
WAMANRAO GANPAT AKHARE,Independent,759,Maharashtra,Jalgaon (Jamod),S13,27
LAHANE SUDHAKAR LAXMAN,Independent,722,Maharashtra,Jalgaon (Jamod),S13,27
ADV. PRAMOD KISANRAO GHATE,Bahujan Mukti Party,602,Maharashtra,Jalgaon (Jamod),S13,27
ADV. KARIM SAMAD KHAN,Independent,450,Maharashtra,Jalgaon (Jamod),S13,27
SK. MOHINODDIN SK. SALIMODDIN,Independent,394,Maharashtra,Jalgaon (Jamod),S13,27
SHRIKRUSHN TULASHIRAM KURWALE,Independent,390,Maharashtra,Jalgaon (Jamod),S13,27
BHARAT SADASHIV INGLE,Independent,390,Maharashtra,Jalgaon (Jamod),S13,27
HAJI DR. JAVED  HUSAIN SHAHA,Independent,283,Maharashtra,Jalgaon (Jamod),S13,27
BODADE  BABANRAO GOTUJI,Independent,255,Maharashtra,Jalgaon (Jamod),S13,27
None of the Above,None of the Above,868,Maharashtra,Jalgaon (Jamod),S13,27
BHARSAKLE PRAKASH GUNVANTRAO,Bharatiya Janata Party,70086,Maharashtra,Akot,S13,28
GANGANE MAHESH SUDHAKARRAO,Indian National Congress,38675,Maharashtra,Akot,S13,28
WANKHADE PRADEEP SADASHIV,Bharipa Bahujan Mahasangh,32350,Maharashtra,Akot,S13,28
SANJAY LAXMAN GAWANDE,Shivsena,14024,Maharashtra,Akot,S13,28
RAJU VITTHALRAO BOCHE,Nationalist Congress Party,3200,Maharashtra,Akot,S13,28
DABERAO VINOD NANDKISHOR,Bahujan Samaj Party,1253,Maharashtra,Akot,S13,28
SYD.SHAREEF SYD.SIKANDAR,Independent,992,Maharashtra,Akot,S13,28
RAJESH DIGAMBAR KHOKLE,Independent,877,Maharashtra,Akot,S13,28
PRADEEP GANESHRAO GAWANDE,Maharashtra Navnirman sena,860,Maharashtra,Akot,S13,28
DR.UMESH TUKARAM NAVALKAR,Independent,589,Maharashtra,Akot,S13,28
KAILAS MAHADEVRAO NATHE,Bahujan Mukti Party,527,Maharashtra,Akot,S13,28
PRADEEP AMBADAS WANKHADE,Independent,295,Maharashtra,Akot,S13,28
MO.AZHAR SHAIKH MO.MUNTEJAR,Minorities Democratic Party,244,Maharashtra,Akot,S13,28
JAKEERSHAH RASHEEDSHAH,Independent,241,Maharashtra,Akot,S13,28
SALIM AHEMAD KHA SABAJEKHA,Independent,233,Maharashtra,Akot,S13,28
PRAKASH UTTAMRAO THORAT,Independent,206,Maharashtra,Akot,S13,28
GAJANAN GOPALRAO PUNDKAR,Independent,180,Maharashtra,Akot,S13,28
GAJANAN PUNDLIK DUDHE,Independent,145,Maharashtra,Akot,S13,28
None of the Above,None of the Above,706,Maharashtra,Akot,S13,28
BALIRAM BHAGWAN SIRSKAR,Bharipa Bahujan Mahasangh,41426,Maharashtra,Balapur,S13,29
KHATIB SYED NATIQUDDIN,Indian National Congress,34487,Maharashtra,Balapur,S13,29
THORAT TEJRAO UTTAMRAO,Bharatiya Janata Party,30741,Maharashtra,Balapur,S13,29
SANDIP DADARAO PATIL,Independent,18547,Maharashtra,Balapur,S13,29
NARAYANRAO HARIBHAU GAVHANKAR,Independent,16230,Maharashtra,Balapur,S13,29
HIDAYAT KHAN RUM KHAN,Nationalist Congress Party,7919,Maharashtra,Balapur,S13,29
KALIN WAMANRAO LANDE,Shivsena,6722,Maharashtra,Balapur,S13,29
MUKIM AHMAD,Independent,2901,Maharashtra,Balapur,S13,29
BHASKAR RAMKRUSHNA SAWALE,Independent,2000,Maharashtra,Balapur,S13,29
RAJENDRA BABAN INGOLE,Bahujan Mukti Party,1632,Maharashtra,Balapur,S13,29
DESHMUKH PRADIP MANIKRAO,Peasants And Workers Party of India,1559,Maharashtra,Balapur,S13,29
SURENDRA SHANKARRAO KHANDARE,Independent,1319,Maharashtra,Balapur,S13,29
BHASKAR DAULATRAO JADHAV,Bahujan Samaj Party,1112,Maharashtra,Balapur,S13,29
AAKOSH JAGDEV SIRSAT,Independent,486,Maharashtra,Balapur,S13,29
VASANTRAO SHIVRAMJI SONONE,Independent,466,Maharashtra,Balapur,S13,29
MOHD. SALIM ABDUL KARIM,Samajwadi Party,218,Maharashtra,Balapur,S13,29
None of the Above,None of the Above,901,Maharashtra,Balapur,S13,29
GOVARDHAN MANGILAL SHARMA,Bharatiya Janata Party,66934,Maharashtra,Akola West,S13,30
DESHMUKH VIJAY PUNDLIKRAO,Nationalist Congress Party,26981,Maharashtra,Akola West,S13,30
AASIF KHAN MUSTAFA KHAN,Bharipa Bahujan Mahasangh,23927,Maharashtra,Akola West,S13,30
GAWANDE GULABRAO RAMRAO,Shivsena,10572,Maharashtra,Akola West,S13,30
VIRAK  USHA JAGAJITSINGH,Indian National Congress,9164,Maharashtra,Akola West,S13,30
MAHEMOOD USMAN SK. ANWAR,Welfare Party Of India,1457,Maharashtra,Akola West,S13,30
SANGHPAL KASHIRAM SIRSAT,Bahujan Samaj Party,1032,Maharashtra,Akola West,S13,30
PANKAJ DNYANESH SABLE,Maharashtra Navnirman sena,532,Maharashtra,Akola West,S13,30
PRASHANT SUDHAKAR MORE,Independent,286,Maharashtra,Akola West,S13,30
KASABE KAPIL VISHNU,Ambedkarite Party of India,278,Maharashtra,Akola West,S13,30
BANSILAL GULHIRAM PRAJAPATI,Independent,262,Maharashtra,Akola West,S13,30
DHOLE SANTOSH PANDHARI,Independent,177,Maharashtra,Akola West,S13,30
DAULAT BAXURAM CHOUTHANI,Independent,168,Maharashtra,Akola West,S13,30
AJMAL YUSUF  KHAN,Independent,164,Maharashtra,Akola West,S13,30
DR. DHANANJAY PRALHADRAO NALAT,Ambedkarist Republican Party,142,Maharashtra,Akola West,S13,30
None of the Above,None of the Above,1047,Maharashtra,Akola West,S13,30
SAVARKAR RANDHIR PRALHADRAO,Bharatiya Janata Party,53678,Maharashtra,Akola East,S13,31
BHADE HARIDAS PANDHARI,Bharipa Bahujan Mahasangh,51238,Maharashtra,Akola East,S13,31
GOPIKISAN RADHAKISAN BAJORIA,Shivsena,35514,Maharashtra,Akola East,S13,31
KORPE DR.SUBHASHCHANDRA WAMANRAO,Indian National Congress,9542,Maharashtra,Akola East,S13,31
DHOTRE SHIRISH VASANTRAO,Nationalist Congress Party,6088,Maharashtra,Akola East,S13,31
INGLE PUSHPATAI MAHADEORAO,Independent,1509,Maharashtra,Akola East,S13,31
VIJAY ONKARRAO MALOKAR,Independent,1430,Maharashtra,Akola East,S13,31
HANIF RASUL SHEKH,Independent,1408,Maharashtra,Akola East,S13,31
PRAVIN WASUDEORAO JAGTAP,Independent,1041,Maharashtra,Akola East,S13,31
BHAI B.C. KAMBLE,Bahujan Samaj Party,965,Maharashtra,Akola East,S13,31
VINOD PRALHADRAO RAUT,Maharashtra Navnirman sena,706,Maharashtra,Akola East,S13,31
PRADHAN SANDIP INDRAJIT,Ambedkarite Party of India,533,Maharashtra,Akola East,S13,31
SANJAY VASANTRAO  WANKHADE,Independent,489,Maharashtra,Akola East,S13,31
SURESH NAMDEO MORE,Bahujan Mukti Party,474,Maharashtra,Akola East,S13,31
FALKE SURESH MAHADEVRAO,Independent,453,Maharashtra,Akola East,S13,31
VISHWAS NATTHUJI SARKATE,Independent,434,Maharashtra,Akola East,S13,31
ANIL SHALIGRAM GHAWAT,Independent,430,Maharashtra,Akola East,S13,31
PROF. ANIL MADHUKARRAO KALE,Peasants And Workers Party of India,381,Maharashtra,Akola East,S13,31
GAUTAM NAMDEO KANKAL,Independent,341,Maharashtra,Akola East,S13,31
ASHOK NAGDEVE,Independent,194,Maharashtra,Akola East,S13,31
ARUN JAMAJI DANDI,Independent,181,Maharashtra,Akola East,S13,31
VINOD DINKARRAO AMBUSKAR,Independent,169,Maharashtra,Akola East,S13,31
ATHAVALE SANJAY GOPALRAO,Independent,163,Maharashtra,Akola East,S13,31
